"2019-08-24 16:27:08,973 - hetero_ne_arbiter.py[line:54] - INFO: Enter hetero_ne_arbiter fit"
"2019-08-24 16:27:33,346 - hetero_ne_arbiter.py[line:88] - INFO: iter: 2"
"2019-08-24 16:27:39,434 - hetero_ne_arbiter.py[line:129] - INFO: Iter 2, horizontally learning finish"
"2019-08-24 16:27:39,434 - hetero_ne_arbiter.py[line:137] - INFO: batch: 0"
"2019-08-24 16:27:45,560 - hetero_ne_arbiter.py[line:145] - INFO: Get host_gradient from GUEST"
"2019-08-24 16:27:46,665 - hetero_ne_arbiter.py[line:152] - INFO: Get guest_gradient from GUEST"
"2019-08-24 16:27:47,059 - hetero_ne_arbiter.py[line:170] - INFO: host gradients number: 42"
"2019-08-24 16:27:47,059 - hetero_ne_arbiter.py[line:171] - INFO: guest gradients number: 42"
"2019-08-24 16:27:47,067 - hetero_ne_arbiter.py[line:182] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 16:27:47,075 - hetero_ne_arbiter.py[line:193] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 16:27:47,277 - hetero_ne_arbiter.py[line:208] - INFO: Get loss from guest: 1.038566013422905"
"2019-08-24 16:27:47,277 - hetero_ne_arbiter.py[line:215] - INFO: iter loss: 1.038566013422905"
"2019-08-24 16:27:48,738 - hetero_ne_arbiter.py[line:268] - INFO: Remote is_stop to host: False"
"2019-08-24 16:27:48,776 - hetero_ne_arbiter.py[line:278] - INFO: Remote is_stop to guest: False"
"2019-08-24 16:27:48,776 - hetero_ne_arbiter.py[line:88] - INFO: iter: 3"
"2019-08-24 16:27:55,964 - hetero_ne_arbiter.py[line:129] - INFO: Iter 3, horizontally learning finish"
"2019-08-24 16:27:55,964 - hetero_ne_arbiter.py[line:137] - INFO: batch: 0"
"2019-08-24 16:27:58,776 - hetero_ne_arbiter.py[line:145] - INFO: Get host_gradient from GUEST"
"2019-08-24 16:27:59,179 - hetero_ne_arbiter.py[line:152] - INFO: Get guest_gradient from GUEST"
"2019-08-24 16:27:59,323 - hetero_ne_arbiter.py[line:170] - INFO: host gradients number: 42"
"2019-08-24 16:27:59,323 - hetero_ne_arbiter.py[line:171] - INFO: guest gradients number: 42"
"2019-08-24 16:27:59,345 - hetero_ne_arbiter.py[line:182] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 16:27:59,367 - hetero_ne_arbiter.py[line:193] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 16:28:00,071 - hetero_ne_arbiter.py[line:208] - INFO: Get loss from guest: 0.9840219111620395"
"2019-08-24 16:28:00,071 - hetero_ne_arbiter.py[line:215] - INFO: iter loss: 0.9840219111620395"
"2019-08-24 16:28:01,489 - hetero_ne_arbiter.py[line:268] - INFO: Remote is_stop to host: False"
"2019-08-24 16:28:01,532 - hetero_ne_arbiter.py[line:278] - INFO: Remote is_stop to guest: False"
"2019-08-24 16:28:01,532 - hetero_ne_arbiter.py[line:88] - INFO: iter: 4"
"2019-08-24 16:28:07,333 - hetero_ne_arbiter.py[line:129] - INFO: Iter 4, horizontally learning finish"
"2019-08-24 16:28:07,333 - hetero_ne_arbiter.py[line:137] - INFO: batch: 0"
"2019-08-24 16:28:10,044 - hetero_ne_arbiter.py[line:145] - INFO: Get host_gradient from GUEST"
"2019-08-24 16:28:10,447 - hetero_ne_arbiter.py[line:152] - INFO: Get guest_gradient from GUEST"
"2019-08-24 16:28:10,579 - hetero_ne_arbiter.py[line:170] - INFO: host gradients number: 42"
"2019-08-24 16:28:10,580 - hetero_ne_arbiter.py[line:171] - INFO: guest gradients number: 42"
"2019-08-24 16:28:10,614 - hetero_ne_arbiter.py[line:182] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 16:28:10,646 - hetero_ne_arbiter.py[line:193] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 16:28:11,525 - hetero_ne_arbiter.py[line:208] - INFO: Get loss from guest: 0.9361042702725442"
"2019-08-24 16:28:11,525 - hetero_ne_arbiter.py[line:215] - INFO: iter loss: 0.9361042702725442"
"2019-08-24 16:28:14,793 - hetero_ne_arbiter.py[line:268] - INFO: Remote is_stop to host: False"
"2019-08-24 16:28:15,193 - hetero_ne_arbiter.py[line:278] - INFO: Remote is_stop to guest: False"
"2019-08-24 16:28:15,193 - hetero_ne_arbiter.py[line:284] - INFO: Reach max iter 5 or convergence, train model finish!"
