node1,node2
54,184
411,40
1329,1516
150,1701
888,338
2409,2688
1248,1141
697,58
1009,245
2791,3208
1542,2050
1270,1820
701,364
1059,1744
970,9
40,847
3101,3102
845,685
2113,1121
1991,30
1000,999
1814,1528
516,51
272,471
617,916
938,940
1411,1615
63,97
1977,1637
2118,1150
250,691
939,71
382,391
517,364
3015,373
828,79
150,637
384,383
2182,2512
1007,655
516,291
1723,1528
697,459
2686,905
1965,1348
14,544
1759,2014
68,301
2043,1580
3099,2206
164,353
2951,2263
418,416
1281,1998
657,663
1548,1193
206,507
1842,1609
1991,1895
1076,1599
3191,905
127,24
160,980
1049,1049
311,263
1333,2080
3133,2515
868,867
51,318
356,291
97,661
86,539
1765,1421
685,460
3037,2217
1130,1822
1341,2056
105,28
453,416
1010,886
711,673
3285,2365
697,85
980,847
2787,2788
2442,2259
1980,1045
1818,1560
1643,1972
2285,2285
1262,1150
743,495
426,425
137,330
310,272
906,390
1689,1908
514,323
449,450
1657,1731
2780,3022
3258,2213
780,471
200,582
1636,1038
2638,876
2287,3215
1227,1079
2792,2623
504,471
1282,1740
1887,1717
714,616
1253,1051
374,763
3105,2874
3015,297
82,658
859,792
325,1509
1788,30
415,0
1944,1470
3077,2974
2410,3275
687,1876
623,623
2313,3157
51,1005
2175,2049
1549,1017
1294,1506
145,472
142,472
1921,780
55,2196
1729,1728
2722,2723
708,707
888,461
2036,1041
252,290
444,278
516,805
2533,3020
1061,1460
444,439
1309,1037
3055,3056
1013,1967
1385,2174
1236,441
561,561
1345,2068
2191,2499
2517,3108
853,2050
202,9
2199,2593
1399,1970
632,44
251,373
861,281
1955,2002
1828,1043
2005,1461
1650,780
1427,1725
499,691
723,396
444,445
639,167
2064,30
935,712
1688,1390
1981,57
496,596
1072,2156
1837,1755
818,1708
764,298
948,329
987,522
732,534
1586,1005
2014,2015
2149,780
1649,1383
732,862
986,659
2216,3044
1062,1374
549,572
2853,2852
2266,556
2583,2486
1185,1530
2429,874
1777,1793
1000,998
106,999
639,799
1671,1670
572,616
3029,3029
114,329
1162,1381
2699,1420
793,29
2402,2553
153,275
2907,2350
320,736
779,1006
1174,1038
1282,1766
306,615
1593,1592
1680,1731
1736,1737
2044,2274
723,99
1326,1667
213,872
1394,1537
2463,373
495,986
444,37
1303,1519
153,28
54,748
1096,1878
2516,3108
2775,2776
3307,3001
859,793
324,280
2383,2816
585,0
728,768
1807,1222
1658,1406
1982,1388
2124,1349
2336,851
26,263
1529,3021
2594,2325
935,691
586,469
195,753
1954,1470
1162,1517
1583,1657
1300,1901
1617,1820
2087,2085
1721,429
510,471
839,673
464,2745
1748,1515
126,243
3162,609
1265,1878
149,917
354,352
3166,2593
481,390
1776,2034
1374,1460
2800,2801
3118,2975
3109,3087
2122,2175
898,691
2023,1918
351,416
2361,460
394,506
2401,2320
1196,1180
1837,1183
525,483
3153,2328
2057,1701
2341,2226
1294,1150
619,1004
557,390
732,646
167,462
634,503
67,714
3014,373
2662,2582
2002,1470
481,364
350,615
2158,1084
1295,1852
67,998
2574,2651
2331,2996
1549,1624
1369,2083
2428,3106
944,61
1553,1554
526,847
687,685
1528,1690
2895,2897
35,643
2306,2184
1359,1737
69,372
2665,31
3130,291
2672,2584
2282,2646
108,383
2682,2378
189,391
2119,1450
481,747
2437,672
146,144
1999,88
1759,1363
3292,3292
534,505
1981,2034
2109,2006
1264,1017
3279,972
868,14
2141,2135
711,960
509,848
267,179
1031,1645
3022,2558
1849,3124
2393,3209
1650,567
3053,3052
281,822
5,916
2323,2832
574,698
2544,2996
1947,1759
236,295
1784,1928
1257,1852
187,847
135,715
250,13
1301,1151
581,338
725,876
1801,2168
2977,2824
2809,2603
1388,1437
0,0
2501,3036
136,814
2161,2081
1429,1428
2166,3021
727,768
3093,2599
866,814
1960,695
1422,1916
2480,3236
3038,3045
1494,201
779,179
147,390
1266,1861
3033,2540
3195,2733
697,184
1191,1230
841,688
2665,738
591,1017
835,837
595,847
1306,1418
1427,1545
436,847
328,661
2290,3048
697,748
2223,2491
2381,716
674,661
1958,1102
2418,3012
2028,1011
2125,201
3191,266
2670,905
1487,1794
917,978
1961,1066
2972,2874
1950,1081
950,488
877,718
1822,1406
682,6
590,291
92,35
673,538
2175,1918
732,430
684,969
691,0
3263,3261
2036,1307
579,753
2838,2837
42,487
770,3040
1679,1475
586,443
334,756
95,574
1249,1416
1628,1753
617,243
271,644
105,714
866,816
1933,1675
2460,3153
2497,2931
251,699
831,663
868,308
2430,2430
52,612
3030,3030
107,276
1174,1776
63,274
2010,2010
2513,2221
235,739
2173,1175
46,847
2097,1727
135,716
1504,1379
957,650
1532,1532
746,291
236,178
125,822
802,390
685,266
883,776
326,150
2112,2050
816,848
491,635
1280,1574
106,291
82,390
3252,184
2370,2835
1332,1338
1174,1090
1850,1458
952,552
2441,3107
516,408
884,814
826,912
754,801
955,488
732,533
2161,553
445,285
3005,2550
710,1148
2078,1929
2746,2248
1836,1835
69,25
1887,1888
1071,1731
1276,2098
2363,1789
877,661
1033,2014
2456,3228
1089,1297
1937,1
1949,1752
619,698
297,179
2392,2781
775,564
956,275
77,916
2639,782
277,951
1329,1153
1224,1706
2772,3239
952,588
2496,2496
1235,1550
1668,1560
232,295
91,64
998,999
2579,2580
1439,1444
1100,1634
1469,2494
603,5
42,488
1083,1373
1486,1759
697,887
239,704
1359,1736
1251,1067
2329,2329
2646,3124
573,179
2193,2236
1934,1524
1359,1731
2373,2693
3023,2298
2397,2394
811,753
853,1916
1132,1860
235,1068
1179,1997
228,305
2703,3286
1350,1985
1344,1291
2406,2406
727,665
1587,1197
623,621
1439,1478
1327,1977
2464,37
1735,1731
1639,1509
967,447
2349,2733
597,439
2581,2560
2869,3170
1698,1929
990,994
3150,3147
777,12
2134,405
475,558
607,192
918,439
508,502
1254,1050
2638,2919
1107,1776
843,506
2272,3007
506,847
2770,354
690,271
829,573
501,291
2585,781
868,341
3074,2243
247,806
2911,2203
828,609
1218,1460
324,1701
143,704
1867,2696
74,991
1944,1870
355,69
1801,441
3251,3250
1784,1786
2334,3167
2307,2831
2178,2736
1395,1113
2012,1479
240,932
240,386
3199,3198
711,437
2485,3125
2415,960
382,364
3264,2749
2476,2590
1738,1493
896,450
3213,2375
1400,2019
1059,1733
805,747
1173,2948
2756,3119
1946,1363
3216,2375
3041,905
421,1646
1980,1470
284,429
1467,1468
2132,1101
1974,1809
777,799
1268,1381
3311,2993
87,87
209,641
697,698
675,337
1911,1762
1098,1661
1598,1597
802,566
661,916
886,831
1731,1732
1771,1770
828,462
54,522
590,525
580,581
504,390
303,698
2867,3019
1949,1753
2744,2833
1123,1864
1668,1273
1934,172
161,309
105,999
1498,130
286,544
575,349
2112,1980
401,693
2279,2750
484,847
655,265
1357,31
1187,1114
714,748
1255,1255
311,2105
1019,1743
3162,79
639,640
141,418
820,9
2157,769
1211,2137
1727,1797
669,699
680,551
147,927
1514,1989
1326,828
1999,1850
1169,1075
723,264
3071,3072
1893,1116
1513,284
755,439
402,3185
1178,1870
274,916
750,631
665,2081
3231,3058
719,641
877,662
2172,2171
3266,3268
2125,108
350,326
770,566
1893,1634
974,947
911,772
1412,1343
1590,1463
2429,3155
1992,1691
406,24
129,104
2483,3125
1964,1203
1462,1379
108,838
356,773
1715,1406
2438,3244
1214,1158
106,48
1400,1971
911,302
3025,2199
25,461
1551,1148
363,390
1927,1928
542,847
153,291
2985,676
509,847
936,389
3303,218
821,2591
2966,2967
380,537
1324,1683
2234,3051
170,287
1269,1745
1007,501
303,22
10,390
1628,1949
2465,2438
1127,57
1676,1094
1233,1520
1554,1831
2990,2990
2418,2753
508,655
1807,1799
1515,1068
1356,2083
2884,2884
2282,855
2771,3277
2170,1101
1532,2658
908,661
3115,2745
3209,577
606,381
422,554
1707,1063
1132,1106
2734,2809
1378,1059
1203,2148
180,688
1921,1419
1213,1155
1275,1924
180,303
918,483
2751,2856
2624,3293
1656,1833
516,977
2756,2426
815,264
413,608
2133,1101
2669,2668
1244,2128
2385,2686
176,830
985,848
797,297
1000,275
3179,3179
1400,1970
364,439
2072,1827
1777,2048
1409,1681
171,506
3150,3149
196,973
682,643
3073,3039
2968,3225
1629,1585
2500,2500
673,390
2415,3041
1609,1101
2260,1420
3163,2575
2842,2841
2015,2014
1309,1040
347,719
285,471
2848,2847
316,410
242,847
868,677
645,441
2677,79
317,390
1236,1860
2647,2702
1236,1070
2163,2164
569,866
3048,2894
697,905
650,204
1281,1850
1956,1383
2024,1725
2144,2142
2641,3043
2038,2039
721,722
2123,1771
315,314
17,832
253,439
2459,3154
570,410
2638,218
2119,1426
939,930
2275,2210
634,304
1239,780
320,730
272,86
527,847
2970,3210
160,596
595,916
2972,3220
2728,553
202,933
1298,1465
3046,2878
774,441
1946,1759
335,22
534,533
667,495
54,999
3074,2507
84,986
2014,1033
3223,2522
810,822
2326,2211
748,616
714,699
1080,1731
3149,2312
344,263
2845,2214
313,850
262,471
198,416
1710,429
1199,1220
2481,2631
2472,2817
458,457
2534,2535
2104,218
257,556
1404,1776
2460,3162
390,799
879,416
3162,3028
213,397
1778,1778
2213,2740
3261,3260
253,364
356,747
643,663
552,637
935,979
752,751
573,459
2047,2046
697,34
998,748
778,47
1140,1460
1933,1421
197,898
1740,31
1476,1414
1427,1013
149,150
105,422
1954,2002
964,834
2087,2089
1404,1174
50,763
555,902
1236,1219
1986,8
2596,378
702,390
2114,1918
30,505
3205,3234
1249,184
778,872
386,932
1372,2088
567,265
673,553
2826,1906
1998,1850
504,297
1359,1735
1286,1125
730,737
3146,3149
2997,2996
1514,1230
868,514
2032,2050
3113,2805
1300,2080
1534,1443
1167,1523
1784,1927
692,2651
475,295
327,917
121,814
525,390
2157,1416
240,618
1494,1577
36,329
1006,460
35,814
121,866
774,880
244,439
2037,3228
172,505
2819,2818
2166,2169
158,568
1602,1448
1321,1562
952,99
1059,1380
620,631
574,349
753,853
2456,2624
332,799
2249,2249
3233,3232
2765,2995
194,372
1013,1297
2444,3167
241,410
2561,2877
1110,1564
1736,1657
1146,1389
1828,2139
404,1859
656,657
2629,2416
326,149
2815,2814
899,390
466,465
231,681
775,857
711,390
1243,1648
314,661
1235,1588
755,699
1010,298
2825,2708
621,623
1535,1443
2095,1918
2246,2246
1715,1408
185,2855
814,643
2529,2530
355,976
103,79
762,1990
555,338
2851,2455
26,86
2683,2684
1417,1725
690,0
559,9
2044,1799
1010,39
1328,2083
2006,2050
180,105
3159,460
964,612
978,1549
1761,1464
3082,3084
1828,1695
2200,2179
1530,1578
1921,553
671,600
685,769
251,364
3304,3172
1002,817
3162,2202
1236,1150
570,659
768,905
1087,1577
982,981
152,291
105,998
680,21
2632,2207
1242,1860
2498,2695
616,521
1361,1446
1811,1230
2532,3020
501,372
3005,3006
2670,2668
865,863
3000,3265
2504,2197
1207,1352
472,822
607,849
2449,3075
810,531
3243,2798
328,948
697,699
2456,2344
69,338
1374,522
3024,2520
481,1004
1357,471
939,938
3156,460
1776,1047
1254,1057
136,643
156,390
1921,1664
1019,1938
623,624
241,631
802,801
188,791
2753,1708
545,544
2165,1634
58,414
2346,3227
1759,1033
387,434
257,573
2460,828
1313,1395
628,753
80,269
929,390
2549,2981
592,615
2417,2971
72,674
2870,2780
947,24
2309,2538
313,661
1256,1818
2454,2983
2061,1356
703,893
1917,1918
2805,2805
401,3183
1704,1470
1587,34
2009,1092
870,635
493,979
592,1568
896,390
783,0
405,404
365,799
3146,3147
619,699
576,873
366,700
2638,2320
914,2651
2640,782
1285,1503
7,1004
622,982
796,769
1714,1273
1283,2042
802,905
2420,672
723,764
898,647
1542,1423
2533,2531
943,986
2149,1979
494,170
421,1687
2355,2945
610,715
2524,2804
993,3085
864,863
3120,2559
1009,631
910,747
2594,2595
1252,2049
2471,2930
483,926
152,88
51,482
573,689
1244,1941
2648,2648
2239,3114
869,343
435,847
2423,2212
285,272
1282,179
2577,2633
1971,1970
1499,1500
464,739
1260,1693
2465,2813
495,631
868,925
735,274
1482,1482
1654,1787
3127,2274
134,104
655,276
1010,488
702,439
345,857
952,518
694,184
2532,2711
325,917
2610,2759
1491,1054
267,102
1876,2081
1267,278
1761,184
1454,1273
226,986
1014,1059
2879,3297
1788,2066
740,793
1487,2003
3014,3169
2589,2589
2325,2594
1874,1743
820,398
706,390
1236,1067
1914,1914
470,364
473,767
603,661
1554,1553
3274,1858
3182,3096
3206,2511
202,387
998,1000
2207,183
2961,3186
1781,1460
28,390
414,439
2807,2806
326,637
2067,2067
1194,2135
3248,3289
779,2202
421,1150
3008,1397
1967,1967
1404,1924
2428,3178
599,598
246,2559
3156,2183
1088,1500
956,1000
732,505
1203,780
146,418
1801,1633
97,5
911,364
2143,1913
34,699
98,390
690,691
1633,378
25,296
2791,553
1312,2593
2862,2932
1247,218
1825,1948
1531,441
515,375
868,478
202,385
111,0
1178,1178
212,390
1236,1242
1425,1107
2310,3125
288,615
470,390
1744,1733
2072,1709
235,1226
1367,1406
1962,1066
1614,1615
950,487
3197,3197
1492,1492
2667,3244
2387,2753
2618,2619
3245,3246
2807,2805
2293,1543
61,986
771,342
592,1226
2869,2936
2414,3257
732,289
517,390
1326,1543
2120,1268
2438,2813
1236,1396
746,805
400,401
90,1631
799,390
1289,2034
825,763
1393,1896
2149,30
1482,1674
2093,1015
1633,1851
779,1279
969,968
253,547
151,598
43,847
920,1005
1272,1649
680,934
1139,1145
2961,716
1502,1877
686,32
2337,2731
502,372
3159,3156
810,900
1314,1731
1453,1045
2618,2616
1378,1014
622,410
304,304
162,782
1747,1135
234,571
1234,769
1969,862
621,620
1531,2658
2066,1165
2048,1819
758,757
974,2339
640,291
144,416
2421,2883
3116,3190
1705,1470
2285,2615
2311,2288
751,734
2526,2732
1766,1740
971,55
2718,2719
2278,905
2856,1354
2064,2091
2106,1168
223,708
750,986
1572,1916
1872,1031
1805,2145
2803,2803
566,471
267,780
154,88
541,471
353,352
19,495
154,390
1441,1101
852,661
462,364
1717,1717
2365,3285
2822,2928
1052,1787
2553,2784
215,672
866,121
174,509
1375,1637
1885,1131
237,979
1893,1894
538,769
1964,1137
450,390
915,433
150,917
185,605
911,747
858,663
714,999
51,483
259,390
629,985
1336,1863
3034,3035
2043,1366
2129,2130
324,326
97,329
2154,1833
2399,3303
259,364
655,372
525,517
3196,3090
106,442
309,53
1669,1820
1608,1090
617,328
1009,659
2586,2584
191,847
1735,1657
1240,1413
1616,1875
1624,1903
610,1706
718,877
2769,3142
2226,2811
1410,1374
2938,2937
235,1568
263,283
585,86
732,78
1761,1460
1600,1078
573,547
313,643
1302,1046
1226,1568
2380,2628
1152,1373
1099,1767
40,849
157,290
667,666
687,32
145,542
737,954
2171,1101
1741,12
470,51
1958,354
346,477
2439,2671
58,554
1440,1478
325,1701
2024,1058
54,28
1539,1352
786,814
673,291
1201,2060
1661,1525
1172,429
833,488
955,613
2653,2713
1476,1368
1727,1366
1179,1996
869,932
1341,2008
3222,3281
271,612
432,705
357,25
1398,1970
1107,1038
367,488
122,2745
153,1
1168,1524
758,758
805,763
2446,365
3013,3274
2619,2614
530,2987
1945,1185
1666,1034
1609,1972
2755,2754
1571,2006
549,616
276,471
630,348
946,2031
1286,1046
1518,2282
808,587
2699,3107
2065,1474
1449,1978
3066,3065
2436,2436
1845,2000
433,432
67,616
411,230
1607,1896
73,894
244,926
1009,741
802,1004
2112,2111
779,88
58,390
260,9
619,522
1527,1024
701,799
1385,1385
253,390
2681,2709
2995,1851
94,439
2920,2920
541,262
1991,179
2984,2983
1725,1967
180,58
36,5
1874,1147
3059,2338
804,772
182,390
2300,2892
580,276
1950,1599
2356,2306
131,104
391,390
1150,1507
88,266
1858,339
946,2865
3026,3027
840,263
1126,1857
573,34
583,847
784,0
251,517
3216,3212
101,542
1215,1542
153,714
409,847
259,483
2253,2299
2915,2942
2138,1016
2033,2049
515,985
793,793
687,2686
2954,2955
2438,2711
646,179
579,788
1287,1159
1478,441
171,817
1240,1675
119,381
2268,2821
1785,1928
774,1633
1540,1222
2168,441
438,302
752,994
1274,1892
2578,2490
1736,1731
1240,865
1547,1546
2757,2568
697,571
1788,1165
1440,1015
2765,441
469,22
2008,1435
2193,1431
2244,2213
899,22
2476,2736
329,916
350,985
2022,2022
654,932
1725,1297
813,735
808,809
1549,1549
1813,1812
374,373
2701,3278
1149,1589
482,364
208,495
152,65
1464,522
2041,1524
3091,3091
504,747
998,998
1117,1154
2899,2205
1707,2210
1310,1483
3152,3152
153,390
2024,1801
608,390
896,285
432,273
310,123
1964,1972
1487,1930
1085,1728
188,814
438,745
305,1512
90,474
3033,2232
706,946
914,392
577,1857
836,661
54,956
2149,646
1168,1050
1284,1642
2340,3164
2557,2521
70,631
673,262
455,1008
784,540
956,999
1430,1862
1736,1406
2356,2184
879,530
621,624
790,488
1717,1729
118,22
2948,2955
2616,2285
2456,2552
1298,1918
594,847
697,685
1449,1352
998,616
669,390
106,998
733,734
655,561
6,663
906,699
3109,2600
1262,1646
1687,1148
1732,1406
1807,2847
1422,2006
2075,2049
1439,1891
1901,1922
1889,1382
1009,320
1236,1058
1385,1175
1207,1539
3065,3067
2234,3052
2079,2021
2266,2894
107,502
259,547
590,547
2584,2586
365,439
2767,2434
159,547
2318,3291
1019,1354
145,822
2567,2222
357,888
877,856
351,354
2342,332
1234,905
2116,1483
489,488
1417,1013
363,765
1299,2121
1272,1383
541,297
95,698
3009,3008
1009,691
116,410
233,420
800,763
2839,2840
2036,1119
2275,3085
724,217
1648,2050
135,610
1210,1120
1921,2161
94,285
3033,3202
1144,2105
920,619
1814,1690
2127,2126
2605,2322
2840,2839
645,1633
2638,2509
2587,2587
516,272
2176,1689
817,454
1359,1406
1365,1014
2139,1634
1773,1614
481,698
1549,978
106,748
949,63
729,847
1811,1764
2980,3043
2909,3043
854,160
135,370
875,660
975,564
254,390
516,364
2845,3235
460,79
574,616
3199,3199
155,699
701,698
727,968
697,572
754,1254
604,846
1253,1253
597,390
548,546
94,373
1804,343
2149,1374
1231,1416
3133,3134
2104,2084
1161,1056
2259,2299
1558,1557
3049,3050
1859,1857
481,483
1726,1374
891,924
1004,901
1068,1718
753,559
616,668
3051,3054
481,51
1980,2032
390,180
158,970
922,896
3290,3167
608,773
2658,2447
847,760
279,2292
1481,2139
2641,185
1390,1672
1406,1923
390,619
2190,3145
1101,1864
1657,1314
1928,1790
659,495
1168,1511
1236,774
2777,2272
847,186
3061,3062
146,907
2669,3191
184,106
1638,1637
745,910
22,455
383,514
2231,2231
31,2774
3067,3066
2033,2032
3100,3101
608,639
381,713
800,93
37,182
1680,1194
22,668
1863,1489
293,397
2242,2665
2694,2505
1626,2009
698,694
699,366
612,965
3141,2673
276,581
654,255
179,1650
2006,1214
537,655
3151,3146
18,59
2278,1198
263,122
2053,1273
664,502
2973,2973
612,569
2541,2542
471,1169
1223,1713
556,829
1037,1042
396,778
1209,1748
2049,2048
725,2400
2934,3271
643,348
2126,2062
184,999
1686,1559
2219,2391
2868,2466
916,36
447,800
348,982
646,549
2657,1286
2607,2608
1690,1122
1988,1987
281,144
644,611
1599,1078
999,28
846,287
390,694
31,2082
359,358
855,704
374,445
3085,2210
1435,1436
416,146
1519,1216
88,1998
1701,327
387,434
1687,1508
1461,628
2335,3200
2022,1927
2962,2962
847,712
3188,3189
3189,2247
1768,1099
847,816
373,444
566,152
293,213
2302,2284
390,482
1004,2316
2080,1926
2235,2992
1517,1331
40,625
1004,1597
2455,861
439,51
928,651
390,700
673,377
2278,1469
1004,502
1812,1173
263,566
1065,1093
3161,2295
390,414
1626,1224
1368,1414
1878,2072
1925,2075
661,191
471,179
652,397
490,805
1878,1465
3028,2460
1457,1550
1120,1606
1538,1248
2558,2780
429,601
847,984
2985,2984
1516,2470
1848,1205
1638,1356
2923,95
1498,130
1386,1758
2245,2310
2368,2368
378,2339
1374,1979
1630,1747
1015,1439
1436,1434
659,211
79,278
788,875
2601,2642
2339,2596
390,483
2263,1813
2982,2707
2747,2748
2741,2411
31,297
272,262
999,987
2764,3224
2106,1751
1420,432
44,868
354,2579
1657,1189
1168,1544
750,712
773,706
2955,2952
1673,1639
1632,2168
439,680
1437,1982
96,913
1848,1216
364,673
3084,3081
1941,1030
113,382
1004,920
847,788
847,966
3175,3074
439,525
685,665
1015,1236
297,122
1005,1336
2351,3013
1864,1095
953,684
822,473
438,251
2278,3040
2273,2273
3080,2665
1470,1955
1546,1763
483,244
502,755
2049,2032
447,921
2517,2367
673,376
1787,1254
2595,2325
1935,1782
439,445
364,355
1001,762
977,355
369,651
2566,2567
2878,2561
179,1921
2872,2384
1532,1286
1541,1540
21,1678
2688,2689
769,2686
272,103
1348,1353
591,724
2607,2606
2049,1703
2332,1173
1038,1682
2680,2680
338,107
661,36
1119,1119
2614,2617
668,251
1373,1373
2947,2876
1876,686
86,460
1012,2181
3002,2527
1220,1169
1851,2168
972,55
3195,2349
286,545
2261,2356
1820,1259
57,1253
731,979
1919,1721
673,802
1374,1177
847,996
2101,2102
24,392
2174,2173
390,355
2016,2017
2139,1498
901,902
855,1675
1908,2176
1524,1581
144,453
2109,2110
1586,1336
1114,2058
1159,1257
1353,1965
1831,1336
1500,2024
677,1747
0,381
2316,2406
2562,2563
2725,2725
1678,1198
291,167
263,768
2005,1332
390,550
1985,1584
1528,2970
110,584
822,879
1019,609
1920,1855
1045,2002
1043,2139
1013,2024
1637,1181
3286,2437
9,158
643,893
1038,1769
643,866
1646,1321
390,523
891,428
3099,2675
69,516
863,165
547,572
1735,1736
1611,2155
905,1231
2192,2488
29,818
643,661
1416,1431
933,247
2799,3128
584,202
1203,2151
1864,1552
678,1747
1047,1613
2139,1255
1873,1663
323,133
855,2441
390,155
1047,1636
362,971
2019,1398
429,732
1414,1355
2361,130
1349,1290
471,797
344,2570
825,321
2598,2548
551,679
40,146
619,220
390,303
486,138
1473,1304
2844,2227
3177,3178
1556,1555
390,200
2195,2195
748,48
1803,1222
1989,2149
822,146
1583,1189
1595,1596
1634,1828
1004,365
940,939
263,426
429,1408
631,403
2049,2049
2827,2873
1542,1980
2151,1433
862,1212
488,488
745,805
268,561
416,499
339,2799
1683,1684
1094,1317
